time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,train/n_updates,train/loss
10,-21.729356696412047,20,2938,292.8,0.9316915000000001,,
20,-20.593841730472498,42,5938,295.9,0.8619415,,
30,-20.65117174966531,63,8938,296.93333333333334,0.7921914999999999,,
40,-21.761073343678188,88,11938,297.45,0.7224415,968,0.00020106657575524878
50,-20.864144154267375,114,14893,296.86,0.6537377500000001,2440,0.0004148258412897121
60,-20.22572627528832,137,17557,291.6166666666667,0.5917997500000001,3776,0.000703845751559129
70,-20.081865144281128,160,20309,289.12857142857143,0.52781575,5152,0.001240594960108865
80,-19.437719716070138,185,23309,290.3625,0.45806575000000005,6648,0.0015608496178174391
90,-18.87986254015807,211,26309,291.3222222222222,0.38831574999999996,8152,0.0010442752682138234
100,-18.626920191407553,236,29309,292.09,0.31856575,9648,0.0018840654520317912
110,-17.536244945327564,259,31574,285.36,0.2659045000000003,10784,0.001472779578762129
120,-17.002094855135063,284,34318,282.8,0.20210649999999997,12152,0.0017283053748542443
130,-16.15568029052055,306,36727,276.89,0.14609725000000018,13360,0.011588362831389531
140,-14.782105279311384,326,39005,269.67,0.09313375000000013,14496,0.02269358439662028
150,-14.353388569525391,351,41994,270.01,0.07,15992,0.013239952764706686
160,-14.055837992841091,375,44896,272.39,0.07,17440,0.01569518615724519
170,-13.551883781242841,399,47896,274.87,0.07,18944,0.0036818680018768646
180,-13.575186811291886,422,50896,274.87,0.07,20440,0.0020047028083354235
190,-13.196746316127768,442,53443,270.34,0.07,21720,0.022163659865327645
200,-12.953751975978046,464,56276,268.67,0.07,23136,0.0100194332699175
210,-13.312784147672044,486,59096,274.22,0.07,24544,0.002304398556589149
220,-13.353996735635624,510,62096,276.78,0.07,26040,0.002247199277917389
230,-13.247455844997125,530,64625,277.98,0.07,27312,0.0015676167276978958
240,-13.158500875388574,552,67359,282.54,0.07,28672,0.0030489829659927636
250,-12.894821164477477,574,69900,278.06,0.07,29944,0.0024424791263299994
260,-12.986159395277681,598,72900,279.04,0.07,31448,0.0028725337360810954
270,-12.676285867477572,616,75245,272.49,0.07,32616,0.0029176853495300747
280,-12.508991055182102,640,78018,270.22,0.07,34008,0.002423543104669079
290,-12.627675801224791,662,80475,269.32,0.07,35232,0.01088977478502784
300,-12.576344075611349,686,83462,270.86,0.07,36728,0.0013568006397690624
310,-12.613518613295437,710,86462,272.66,0.07,38224,0.005294612084981054
320,-12.316804621938793,733,89228,270.32,0.07,39608,0.00349631247081561
330,-12.73603586129983,757,92228,275.03,0.07,41112,0.00297687266356661
340,-12.911505828126321,776,94658,271.99,0.07,42328,0.021384362364187837
350,-13.255584349573603,797,97464,274.64,0.07,43728,0.017852779597888002
360,-13.21214154890746,822,100369,273.69,0.07,45184,0.0027886708412552252
370,-13.075504207634836,842,102820,274.75,0.07,46408,0.004715834227681626
380,-12.904655231235424,862,105370,272.52,0.07,47680,0.0023644684406463057
390,-12.933678321822548,882,108028,274.53,0.07,49008,0.0036951843030692544
400,-12.794788240811208,901,110445,268.83,0.07,50216,0.0041790792674873956
410,-12.360496327400583,919,112737,261.75,0.07,51368,0.006954410491744056
420,-12.334553929487486,938,115276,259.48,0.07,52632,0.01779170840018196
430,-11.894726296995765,957,117630,253.02,0.07,53808,0.007441297413606662
440,-12.055328094666086,978,120407,256.49,0.07,55200,0.0014259209674492013
450,-11.60050031408426,997,122879,253.15,0.07,56432,0.005727001749619376
460,-11.425244812713778,1018,125635,251.66,0.07,57816,0.00815150335256476
470,-11.484625674325086,1036,127934,250.14,0.07,58960,0.008158073727827286
480,-11.363524177836567,1055,130425,249.55,0.07,60208,0.007249393294841866
490,-11.597474330206513,1075,132975,248.47,0.07,61480,0.024474465601088013
500,-11.445854964545243,1092,135284,247.39,0.07,62640,0.005847251923114527
510,-11.491176508309001,1112,137829,249.92,0.07,63912,0.00788095147072454
520,-11.513285176041485,1132,140403,250.27,0.07,65200,0.005780273117125034
530,-11.538842790325079,1152,142928,251.98,0.07,66456,0.02434974419156788
540,-11.44656710771858,1172,145518,250.11,0.07,67752,0.009489878284512088
550,-11.660399966274804,1192,148038,250.59,0.07,69016,0.03128188344271621
560,-11.569132749081797,1212,150667,249.32,0.07,70328,0.018007032820605673
570,-11.767201481929478,1231,153162,251.28,0.07,71576,0.024625638936413452
580,-11.761977366628741,1248,155291,247.66,0.07,72640,0.016245255021203775
590,-11.424408066606635,1266,157597,245.22,0.07,73792,0.021889076495426707
600,-11.624634464705538,1286,160258,248.74,0.07,75128,0.016726076704799198
610,-11.533604636450367,1300,162053,241.24,0.07,76024,0.004671702074119821
620,-11.593278323655989,1317,164228,237.25,0.07,77112,0.03732417779247044
630,-11.19131179412124,1331,165972,229.44,0.07,77984,0.015113168599782512
640,-11.46840676349437,1350,168339,227.21,0.07,79168,0.017274139769142494
650,-11.384624560803264,1363,170046,219.08,0.07,80016,0.018437996302964166
660,-11.490770224157187,1380,172139,213.72,0.07,81064,0.04900646807800513
670,-11.645676879480886,1401,174829,215.67,0.07,82408,0.04494678892660886
680,-12.36205389999086,1422,177434,220.43,0.07,83712,0.04827835422474891
690,-12.491731016877555,1438,179526,218.29,0.07,84760,0.038510254853463266
700,-12.307747612754321,1454,181469,211.11,0.07,85728,0.02215934877312975
710,-12.682486733360205,1470,183618,214.65,0.07,86808,0.06273584401060361
720,-12.743426492348881,1487,185736,214.08,0.07,87864,0.021481421375938226
730,-12.748198221498733,1500,187294,212.22,0.07,88640,0.049598970799706876
740,-12.769565258853843,1522,190117,216.78,0.07,90056,0.0609309354913421
750,-12.920544517968516,1539,192391,222.45,0.07,91192,0.048461342783411965
760,-12.739146236756874,1559,194865,226.26,0.07,92432,0.02706901275087148
770,-12.589767540640993,1579,197530,226.01,0.07,93760,0.044352169628837146
780,-11.943549304541527,1598,199977,224.43,0.07,94984,0.05229260498890653
