time/total_timesteps,rollout/exploration_rate,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/loss
2805,0.9673918750000001,10,-123.95279946366108,279.5,22,,
5805,0.9325168750000001,20,-134.38759374563273,289.25,46,,
8805,0.897641875,30,-149.36507632016048,292.5,71,,
11805,0.862766875,40,-148.38935405296655,294.125,96,,
14805,0.8278918749999999,50,-159.95165854133984,295.1,121,,
17805,0.793016875,60,-162.24598491768617,295.75,148,,
20805,0.758141875,70,-162.59712440363896,296.2142857142857,176,400,0.01312592881731689
23805,0.723266875,80,-156.66636030636002,296.5625,208,1896,0.011951735010370612
26805,0.6883918749999999,90,-153.5047976202057,296.8333333333333,240,3400,0.018431634991429746
29369,0.658585375,100,-147.57061776508115,292.69,268,4680,0.03342816838994622
32247,0.625128625,110,-146.09328342299895,293.42,300,6120,0.03542141825892031
34769,0.595810375,120,-141.02914946872426,288.64,328,7384,0.04514653468504548
37271,0.566724625,130,-131.4679419406256,283.66,355,8632,0.06312629580497742
40118,0.5336282499999999,140,-129.32116562970913,282.13,386,10056,0.057892248034477234
43118,0.49875325000000015,150,-119.07558347952559,282.13,416,11552,0.05925087397918105
44083,0.48753512500000007,160,-104.38208427058512,261.78,425,12040,0.07622446212917566
46795,0.456008125,170,-100.20968247369572,258.9,455,13392,0.10398196429014206
49795,0.4211331250000002,180,-96.01172324532563,258.9,488,14896,0.08832720946520567
52505,0.38962937500000006,190,-94.29096795848491,256.0,518,16248,0.10553343780338764
55505,0.35475437499999996,200,-93.34243170048045,260.36,551,17752,0.12966291885823011
58505,0.3198793750000002,210,-94.04525240758213,261.58,585,19248,0.14633027836680412
61505,0.285004375,220,-95.6101138414888,266.36,619,20752,0.1655335444957018
64505,0.2501293750000002,230,-97.74453887957304,271.34,653,22248,0.18420708738267422
67395,0.2165331250000001,240,-95.82885908555707,271.77,686,23696,0.19994811713695526
70395,0.18165812500000034,250,-94.17728256535968,271.77,720,25192,0.2126887571066618
73119,0.14999162500000007,260,-99.94673480375883,289.36,752,26552,0.2622899077832699
75844,0.11831350000000007,270,-95.40817272336861,289.49,784,27920,0.27006168104708195
78585,0.08644937500000016,280,-97.44050782812023,286.9,815,29288,0.3006455060094595
80833,0.07,290,-93.5013898505218,282.28,842,30416,0.3049169983714819
83035,0.07,300,-90.56026553895136,274.3,867,31512,0.3553868606686592
85240,0.07,310,-85.08703523377912,266.35,894,32616,0.38393833115696907
86748,0.07,320,-79.1356573623316,251.43,911,33368,0.3321223706007004
87342,0.07,330,-69.72857687664306,227.37,917,33664,0.36029326543211937
87511,0.07,340,-59.44754124413138,200.16,919,33752,0.3781130313873291
87950,0.07,350,-51.3705513341009,174.55,923,33968,0.3802603967487812
88120,0.07,360,-43.15799375570873,149.01,925,34056,0.38223931565880775
88379,0.07,370,-35.87559757642216,124.35,928,34184,0.4039308875799179
88667,0.07,380,-27.089479513809806,99.82,931,34328,0.4077400751411915
88896,0.07,390,-20.376664161569373,79.63,933,34440,0.398068331182003
89104,0.07,400,-15.244885496712111,59.69,936,34544,0.4288315512239933
89356,0.07,410,-9.692916478218066,40.16,938,34672,0.4510941505432129
89531,0.07,420,-4.993444888368394,26.83,940,34760,0.44733602926135063
89752,0.07,430,-4.285228564692206,23.1,942,34872,0.47084375098347664
89931,0.07,440,-4.435733926861254,23.2,944,34960,0.46672819554805756
90068,0.07,450,-4.035025463848889,20.18,945,35032,0.40614041313529015
90266,0.07,460,-4.185076243706919,20.46,947,35128,0.43575698509812355
90593,0.07,470,-4.3530524853194255,21.14,951,35296,0.4962409548461437
90798,0.07,480,-4.1546670387031615,20.31,953,35392,0.4430844523012638
90977,0.07,490,-4.0510717293149705,19.81,955,35488,0.49357904493808746
91160,0.07,500,-4.039512370436655,19.56,956,35576,0.456656813621521
91630,0.07,510,-5.24235674578949,21.74,961,35808,0.5628673508763313
91778,0.07,520,-5.177436131922137,21.47,963,35888,0.4938940443098545
92000,0.07,530,-5.272672727110405,21.48,965,35992,0.4566243700683117
92450,0.07,540,-6.725962389027456,24.19,969,36224,0.5108079575002193
92604,0.07,550,-6.77086483631233,24.36,971,36296,0.4894053712487221
93998,0.07,560,-11.832366164382393,36.32,984,36992,0.5059127658605576
95976,0.07,570,-16.57122230816438,52.83,1003,37984,0.5302745066583157
98443,0.07,580,-22.653683676387587,75.45,1027,39216,0.5747239328920841
100592,0.07,590,-29.161564519236673,95.15,1048,40288,0.5848862901329994
103034,0.07,600,-34.81124543352945,117.74,1072,41512,0.6195612922310829
104843,0.07,610,-38.86363295901653,131.13,1089,42416,0.5856024585664272
106461,0.07,620,-44.87228475661527,145.83,1105,43224,0.6067671328783035
108391,0.07,630,-48.892849827755775,162.91,1123,44192,0.7143878489732742
110405,0.07,640,-52.131329453293155,178.55,1143,45200,0.6638205386698246
112593,0.07,650,-59.766951516099134,198.89,1164,46296,0.712395466864109
114723,0.07,660,-60.62325174367612,206.25,1184,47360,0.7315355390310287
116810,0.07,670,-62.57383306038424,207.34,1205,48400,0.8340097963809967
118555,0.07,680,-60.79034188640759,200.12,1221,49272,0.6691126897931099
119583,0.07,690,-56.93090613666227,188.91,1231,49784,0.7767785638570786
121519,0.07,700,-59.92835500822168,183.85,1250,50752,0.7986381724476814
123750,0.07,710,-62.51607484809895,188.07,1272,51872,0.8529491275548935
125786,0.07,720,-63.0133886883199,192.25,1291,52888,0.8334740176796913
128342,0.07,730,-65.60347046862361,198.51,1316,54168,0.9205435663461685
129314,0.07,740,-63.72873539264293,188.09,1325,54656,0.8747128769755363
130568,0.07,750,-59.56024481009242,178.75,1338,55280,0.9659365639090538
131971,0.07,760,-57.40125227799609,171.48,1352,55984,0.9107901006937027
133936,0.07,770,-57.27127225663622,170.26,1370,56960,1.0058384463191032
135212,0.07,780,-56.124159637625354,165.57,1383,57600,0.9734616130590439
137432,0.07,790,-63.120668866599935,177.49,1405,58712,0.9451141953468323
138958,0.07,800,-59.58314808934619,173.39,1421,59472,1.115848958492279
140641,0.07,810,-57.635133860034266,167.91,1440,60320,1.1054742261767387
142243,0.07,820,-54.88330918459151,163.57,1457,61120,1.0831504836678505
144295,0.07,830,-55.25160060874455,158.53,1478,62144,1.0520165488123894
146296,0.07,840,-58.603285250718436,168.82,1497,63144,1.1144759058952332
147663,0.07,850,-59.079223439646455,169.95,1511,63824,1.2374601885676384
148493,0.07,860,-57.41712697976241,164.22,1520,64240,1.2018933296203613
150153,0.07,870,-56.20300836050143,161.17,1536,65072,1.2981640100479126
151443,0.07,880,-55.93121227732423,161.31,1549,65720,1.3706347346305847
153102,0.07,890,-50.907820654200314,155.7,1566,66544,1.3287747204303741
155298,0.07,900,-52.487322681736266,162.4,1588,67648,1.2937637120485306
157820,0.07,910,-55.10206191641936,170.79,1614,68904,1.4964895099401474
160367,0.07,920,-61.741990694618856,180.24,1641,70176,1.3089818358421326
163096,0.07,930,-65.9699068882656,187.01,1668,71544,1.4710502922534943
165038,0.07,940,-67.12884413805108,186.42,1688,72512,1.4229040741920471
166841,0.07,950,-69.62579219958948,190.78,1706,73416,1.4777284860610962
168734,0.07,960,-73.51796120978311,201.41,1725,74360,1.5242495238780975
170160,0.07,970,-71.85949872089144,199.07,1739,75072,1.5276712775230408
171133,0.07,980,-72.12621908499227,195.9,1749,75560,1.5243297964334488
172057,0.07,990,-69.58797433201428,188.55,1758,76024,1.6288946568965912
173309,0.07,1000,-65.65388829899587,179.11,1770,76648,1.6349136978387833
174316,0.07,1010,-59.26573510787788,163.96,1781,77152,1.5959538966417313
175098,0.07,1020,-50.59135285330412,146.31,1788,77544,1.671671524643898
176190,0.07,1030,-42.62696868905692,129.94,1800,78088,1.5671705305576324
177084,0.07,1040,-37.92043548340344,119.46,1808,78536,1.5981859266757965
178144,0.07,1050,-34.76872035269925,112.03,1819,79064,1.6245676428079605
179312,0.07,1060,-32.09985106668784,104.78,1831,79648,1.5405129194259644
180046,0.07,1070,-29.792829712818584,97.86,1838,80016,1.679024577140808
180993,0.07,1080,-29.23289796677065,97.6,1848,80496,1.6278774440288544
181577,0.07,1090,-28.452939014014486,94.2,1854,80784,1.5772206634283066
182350,0.07,1100,-27.455998071330445,89.41,1861,81168,1.4596272855997086
183465,0.07,1110,-28.346968270018746,90.49,1872,81728,1.642091378569603
184644,0.07,1120,-31.01708101891908,94.46,1884,82320,1.575676903128624
185934,0.07,1130,-32.083035603958415,96.44,1897,82960,1.6257482469081879
186703,0.07,1140,-31.715433447450597,95.19,1904,83344,1.6307817548513412
187328,0.07,1150,-29.8832283412338,90.84,1911,83656,1.6118731945753098
188529,0.07,1160,-29.554297019027462,91.17,1923,84264,1.6947743445634842
189405,0.07,1170,-30.47670360720589,92.59,1932,84696,1.5788484960794449
190173,0.07,1180,-29.80965153703473,90.8,1940,85080,1.4952879548072815
190879,0.07,1190,-30.473647633419365,92.02,1947,85432,1.5972624272108078
191506,0.07,1200,-30.174055200226434,90.56,1953,85752,1.4218413084745407
192138,0.07,1210,-28.491871346765542,85.73,1959,86064,1.5039092004299164
193081,0.07,1220,-26.879442679872273,83.37,1968,86536,1.3902465403079987
193916,0.07,1230,-24.822038385469327,78.82,1977,86952,1.3574049919843674
194705,0.07,1240,-24.34335007611543,79.02,1984,87352,1.6010592579841614
195760,0.07,1250,-26.64542706272061,83.32,1995,87872,1.5486802905797958
196720,0.07,1260,-26.190814166830965,80.91,2005,88352,1.448460415005684
197835,0.07,1270,-26.884170770724847,83.3,2017,88912,1.4655322432518005
198701,0.07,1280,-27.261842796611003,84.28,2027,89344,1.4315252751111984
199572,0.07,1290,-28.15302454033978,85.93,2038,89784,1.3948530405759811
