rollout/exploration_rate,time/time_elapsed,time/episode,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates
0.9905,0,0,,,,
0.981,0,0,,,,
0.9715,0,0,,,,
0.962,0,0,,,,
0.9524999999999999,0,0,,,,
0.943,0,0,,,,
0.9335,0,0,,,,
0.9239999999999999,0,0,,,,
0.9145,0,0,,,,
0.9049999999999999,0,0,,,,
0.8955,0,0,,,,
0.8859999999999999,0,0,,,,
0.8765,0,0,,,,
0.8669999999999999,0,0,,,,
0.8574999999999999,0,0,,,,
0.8479999999999999,0,0,,,,
0.8384999999999998,0,1,-0.6335143365575054,16.0,,
0.8289999999999998,0,2,-0.3167571682787527,8.0,,
0.8194999999999999,0,2,-0.3167571682787527,8.0,,
0.8099999999999998,0,2,-0.3167571682787527,8.0,,
0.8004999999999999,0,2,-0.3167571682787527,8.0,,
0.7909999999999998,0,2,-0.3167571682787527,8.0,,
0.7814999999999999,0,2,-0.3167571682787527,8.0,,
0.7719999999999998,0,2,-0.3167571682787527,8.0,,
0.7624999999999997,0,2,-0.3167571682787527,8.0,,
0.7529999999999998,0,2,-0.3167571682787527,8.0,,
0.7434999999999998,0,2,-0.3167571682787527,8.0,,
0.7339999999999998,0,2,-0.3167571682787527,8.0,,
0.7244999999999998,0,2,-0.3167571682787527,8.0,,
0.7149999999999997,0,2,-0.3167571682787527,8.0,,
0.7054999999999998,0,2,-0.3167571682787527,8.0,,
0.6959999999999997,0,2,-0.3167571682787527,8.0,,
0.6864999999999998,0,2,-0.3167571682787527,8.0,,
0.6769999999999997,0,2,-0.3167571682787527,8.0,,
0.6674999999999998,0,2,-0.3167571682787527,8.0,,
0.6579999999999997,0,2,-0.3167571682787527,8.0,,
0.6484999999999997,0,2,-0.3167571682787527,8.0,,
0.6389999999999998,0,2,-0.3167571682787527,8.0,,
0.6294999999999997,0,2,-0.3167571682787527,8.0,,
0.6199999999999997,0,2,-0.3167571682787527,8.0,,
0.6104999999999997,0,2,-0.3167571682787527,8.0,,
0.6009999999999998,0,2,-0.3167571682787527,8.0,,
0.5914999999999997,0,2,-0.3167571682787527,8.0,,
0.5819999999999996,0,2,-0.3167571682787527,8.0,,
0.5724999999999996,0,2,-0.3167571682787527,8.0,,
0.5629999999999997,0,3,-0.6940781665201777,14.333333333333334,,
0.5534999999999997,0,3,-0.6940781665201777,14.333333333333334,,
0.5439999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.5344999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.5249999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.5154999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.5059999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.4964999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.48699999999999966,0,3,-0.6940781665201777,14.333333333333334,,
0.4774999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.4679999999999995,0,3,-0.6940781665201777,14.333333333333334,,
0.4584999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.4489999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.43950000000000067,0,3,-0.6940781665201777,14.333333333333334,,
0.4299999999999995,0,3,-0.6940781665201777,14.333333333333334,,
0.42050000000000054,0,3,-0.6940781665201777,14.333333333333334,,
0.4109999999999996,0,3,-0.6940781665201777,14.333333333333334,,
0.40150000000000063,0,3,-0.6940781665201777,14.333333333333334,,
0.39199999999999957,0,3,-0.6940781665201777,14.333333333333334,,
0.3825000000000006,0,3,-0.6940781665201777,14.333333333333334,,
0.37299999999999955,0,3,-0.6940781665201777,14.333333333333334,,
0.3635000000000006,0,3,-0.6940781665201777,14.333333333333334,,
0.3539999999999994,0,3,-0.6940781665201777,14.333333333333334,,
0.3445000000000005,0,3,-0.6940781665201777,14.333333333333334,,
0.3349999999999994,0,3,-0.6940781665201777,14.333333333333334,,
0.32550000000000046,0,3,-0.6940781665201777,14.333333333333334,,
0.3160000000000006,0,3,-0.6940781665201777,14.333333333333334,,
0.30650000000000055,0,3,-0.6940781665201777,14.333333333333334,,
0.2970000000000005,0,3,-0.6940781665201777,14.333333333333334,,
0.28750000000000053,0,3,-0.6940781665201777,14.333333333333334,,
0.27800000000000047,0,3,-0.6940781665201777,14.333333333333334,,
0.2685000000000005,0,3,-0.6940781665201777,14.333333333333334,,
0.25900000000000045,0,3,-0.6940781665201777,14.333333333333334,,
0.2495000000000004,0,3,-0.6940781665201777,14.333333333333334,,
0.24000000000000044,0,3,-0.6940781665201777,14.333333333333334,,
0.23050000000000037,0,3,-0.6940781665201777,14.333333333333334,,
0.22100000000000053,0,3,-0.6940781665201777,14.333333333333334,,
0.21150000000000047,0,3,-0.6940781665201777,14.333333333333334,,
0.2020000000000004,0,3,-0.6940781665201777,14.333333333333334,,
0.19250000000000045,0,3,-0.6940781665201777,14.333333333333334,,
0.18300000000000038,0,3,-0.6940781665201777,14.333333333333334,,
0.17350000000000043,0,3,-0.6940781665201777,14.333333333333334,,
0.16400000000000037,0,4,-1.1074074717348812,21.0,,
0.1545000000000003,0,4,-1.1074074717348812,21.0,,
0.14500000000000035,0,4,-1.1074074717348812,21.0,,
0.1355000000000003,0,4,-1.1074074717348812,21.0,,
0.12600000000000044,0,4,-1.1074074717348812,21.0,,
0.11650000000000038,0,4,-1.1074074717348812,21.0,,
0.10700000000000043,0,4,-1.1074074717348812,21.0,,
0.09750000000000036,0,4,-1.1074074717348812,21.0,,
0.0880000000000003,0,4,-1.1074074717348812,21.0,,
0.07850000000000035,0,4,-1.1074074717348812,21.0,,
0.06900000000000028,0,4,-1.1074074717348812,21.0,,
0.05950000000000033,0,4,-1.1074074717348812,21.0,,
0.050000000000000266,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,0.3800557851791382,4
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,0.3057326264679432,8
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,0.25632650032639503,12
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,0.37045425921678543,16
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,4,-1.1074074717348812,21.0,0.37174931913614273,20
0.05,0,4,-1.1074074717348812,21.0,,
0.05,0,5,-1.3156643221425834,23.6,,
0.05,0,5,-1.3156643221425834,23.6,,
0.05,0,5,-1.3156643221425834,23.6,0.48219119012355804,24
0.05,0,5,-1.3156643221425834,23.6,,
0.05,0,5,-1.3156643221425834,23.6,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.27613692358136177,28
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.4542800188064575,32
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.40766359865665436,36
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.3831346035003662,40
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.27055489842314273,44
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.42320791259407997,48
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.26766158640384674,52
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.22296947427093983,56
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.3529670834541321,60
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.5026994720101357,64
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.22189881280064583,68
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.4580981731414795,72
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.2617825046181679,76
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.3646393455564976,80
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.3004940412938595,84
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.29755763709545135,88
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.35981134697794914,92
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.21312045492231846,96
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.33461372181773186,100
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.1680300273001194,104
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.3113325163722038,108
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.3727833107113838,112
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.12631778605282307,116
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.16244420409202576,120
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,0.2795352693647146,124
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,6,-1.1147248626999031,20.333333333333332,,
0.05,0,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.25560167618095875,128
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.17985522747039795,132
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.17928911931812763,136
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.21318604797124863,140
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.13378635980188847,144
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.19303516671061516,148
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.28068210184574127,152
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.13202515989542007,156
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.1714977683732286,160
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.21978696627775207,164
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.23583662696182728,168
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.2905414402484894,172
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.16402724757790565,176
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.22477741166949272,180
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.09115842916071415,184
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.08552703727036715,188
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.17131083458662033,192
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.10666331462562084,196
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.10941010096576065,200
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.13875302544329315,204
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.1658206544816494,208
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.08724137383978814,212
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.1015239900443703,216
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.1824541948735714,220
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,0.14115284522995353,224
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,7,-1.8856661123406793,31.571428571428573,,
0.05,1,8,-2.2032601647253696,40.0,,
0.05,1,8,-2.2032601647253696,40.0,0.18299040384590626,228
0.05,1,8,-2.2032601647253696,40.0,,
0.05,1,8,-2.2032601647253696,40.0,,
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,0.1810792163014412,232
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,0.24197610467672348,236
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,0.12798072770237923,240
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,9,-1.9642522331267318,35.888888888888886,0.0951437084004283,244
0.05,1,9,-1.9642522331267318,35.888888888888886,,
0.05,1,10,-1.8087911014030529,33.7,,
0.05,1,10,-1.8087911014030529,33.7,,
0.05,1,10,-1.8087911014030529,33.7,0.11299983412027359,248
0.05,1,10,-1.8087911014030529,33.7,,
0.05,1,10,-1.8087911014030529,33.7,,
0.05,1,10,-1.8087911014030529,33.7,,
0.05,1,10,-1.8087911014030529,33.7,0.1266195122152567,252
0.05,1,10,-1.8087911014030529,33.7,,
0.05,1,10,-1.8087911014030529,33.7,,
0.05,1,10,-1.8087911014030529,33.7,,
